datetime,Irrigation (ON/OFF),Soil Moisture [RH%],Soil Temperature [C],Soil Electrical Conductivity,Daily Hour,Environmental Temperature [ C],Environmental Humidity [RH %]
2023-06-29 06:10:00,0.0,28.45,23.5,346.0,6,24.5,61.0
2023-06-29 06:20:00,0.0,28.45,23.5,340.0,6,24.5,61.0
2023-06-29 06:30:00,0.0,28.37,23.6,339.0,6,24.5,61.0
2023-06-29 06:40:00,0.0,28.31,23.6,338.0,6,24.5,61.0
2023-06-29 06:50:00,0.0,28.17,23.6,336.0,6,24.5,61.0
2023-06-29 07:00:00,0.0,28.11,23.7,335.0,7,24.5,61.0
2023-06-29 07:10:00,0.0,27.91,23.7,332.0,7,24.5,61.0
2023-06-29 07:20:00,0.0,27.79,23.7,329.0,7,24.5,61.0
2023-06-29 07:30:00,0.0,27.73,23.8,326.0,7,24.5,61.0
2023-06-29 07:40:00,0.0,27.59,23.8,322.0,7,24.5,61.0
2023-06-29 07:50:00,0.0,27.4,23.9,316.0,7,24.5,61.0
2023-06-29 08:00:00,0.0,27.15,23.9,312.0,8,24.5,61.0
2023-06-29 08:10:00,0.0,27.02,24.0,309.0,8,24.5,61.0
2023-06-29 08:20:00,0.0,26.89,24.0,304.0,8,24.5,61.0
2023-06-29 08:30:00,0.0,26.77,24.1,300.0,8,24.5,61.0
2023-06-29 08:40:00,0.0,26.64,24.1,296.0,8,24.5,61.0
2023-06-29 08:50:00,0.0,26.45,24.2,292.0,8,24.5,61.0
2023-06-29 09:00:00,0.0,26.38,24.3,287.0,9,24.5,61.0
2023-06-29 09:10:00,0.0,26.25,24.4,283.0,9,24.5,61.0
2023-06-29 09:20:00,0.0,26.14,24.5,279.0,9,24.5,61.0
2023-06-29 09:30:00,0.0,26.07,24.6,276.0,9,24.5,61.0
2023-06-29 09:40:00,0.0,25.94,24.6,271.0,9,24.5,61.0
2023-06-29 09:50:00,0.0,25.76,24.7,268.0,9,24.5,61.0
2023-06-29 10:00:00,0.0,25.65,24.8,264.0,10,24.5,61.0
2023-06-29 10:10:00,0.0,25.51,24.9,260.0,10,24.5,61.0
2023-06-29 10:20:00,0.0,25.4,25.0,256.0,10,24.5,61.0
2023-06-29 10:30:00,0.0,25.28,25.0,252.0,10,24.5,61.0
2023-06-29 10:40:00,0.0,25.17,25.1,250.0,10,24.5,61.0
2023-06-29 10:50:00,0.0,25.03,25.2,245.0,10,24.5,61.0
2023-06-29 11:00:00,0.0,24.91,25.3,238.0,11,24.5,61.0
2023-06-29 11:10:00,0.0,24.75,25.3,230.0,11,24.5,61.0
2023-06-29 11:20:00,0.0,23.53,25.4,220.0,11,24.5,61.0
2023-06-29 11:30:00,0.0,23.75,25.5,220.0,11,24.5,61.0
2023-06-29 11:40:00,0.0,23.93,25.6,220.0,11,24.5,61.0
2023-06-29 11:50:00,0.0,23.98,25.7,218.0,11,24.5,61.0
2023-06-29 12:00:00,0.0,23.7,25.8,218.0,12,24.5,61.0
2023-06-29 12:10:00,0.0,24.86,25.9,217.0,12,24.5,61.0
2023-06-29 12:20:00,0.0,24.91,26.0,215.0,12,24.5,61.0
2023-06-29 12:30:00,0.0,24.91,26.0,213.0,12,24.5,61.0
2023-06-29 12:40:00,0.0,24.86,26.1,209.0,12,24.5,61.0
2023-06-29 12:50:00,0.0,24.86,26.1,206.0,12,24.5,61.0
2023-06-29 13:00:00,0.0,24.8,26.2,199.0,13,41.2,39.5
2023-06-29 13:10:00,0.0,25.17,26.3,195.0,13,40.2,46.0
2023-06-29 13:20:00,0.0,6.81,29.0,0.0,13,39.7,38.0
2023-06-29 13:30:00,0.0,23.82,27.6,439.0,13,39.4,35.0
2023-06-29 13:40:00,0.0,23.5,27.2,459.0,13,39.8,33.0
2023-06-29 13:50:00,0.0,23.41,27.2,471.0,13,38.7,32.5
2023-06-29 14:00:00,1.0,23.41,27.2,478.0,14,40.6,30.0
2023-06-29 14:10:00,1.0,23.35,27.3,484.0,14,35.9,31.5
2023-06-29 14:20:00,0.0,23.35,27.3,490.0,14,34.9,35.0
2023-06-29 14:30:00,0.0,23.35,27.4,494.0,14,34.7,35.0
2023-06-29 14:40:00,0.0,23.35,27.5,499.0,14,34.2,34.5
2023-06-29 14:50:00,0.0,23.35,27.6,502.0,14,33.6,35.0
2023-06-29 15:00:00,0.0,23.29,27.7,505.0,15,33.8,35.0
2023-06-29 15:10:00,0.0,23.29,27.8,507.0,15,34.2,35.0
2023-06-29 15:20:00,0.0,23.29,27.9,509.0,15,34.5,34.5
2023-06-29 15:30:00,0.0,23.35,28.0,510.0,15,34.5,36.0
2023-06-29 15:40:00,1.0,23.35,28.1,513.0,15,34.6,35.5
2023-06-29 15:50:00,1.0,23.29,28.2,514.0,15,34.6,35.0
2023-06-29 16:00:00,1.0,23.35,28.2,517.0,16,34.2,35.5
2023-06-29 16:10:00,0.0,23.35,28.3,517.0,16,33.9,36.5
2023-06-29 16:20:00,0.0,23.35,28.4,519.0,16,33.9,37.0
2023-06-29 16:30:00,0.0,23.35,28.5,521.0,16,33.9,35.0
2023-06-29 16:40:00,0.0,23.35,28.6,521.0,16,33.9,34.5
2023-06-29 16:50:00,0.0,23.35,28.7,522.0,16,34.0,35.0
2023-06-29 17:00:00,0.0,23.35,28.7,522.0,17,33.2,37.0
