datetime,line,Irrigation (ON/OFF),Soil Moisture [RH%],Soil Temperature [C],Environmental Temperature [ C],Environmental Humidity [RH %],Weather Forecast Rainfall [mm],Crop Data Evapotranspiration [mm],Irrigation_Decision,Moisture_Derivative
2023-07-28 00:20:00,1,0,22.0,23.2,18.7,64.0,0.0,0.0,1,0.0
2023-07-28 00:30:00,1,0,22.0,23.2,18.7,63.5,0.0,0.0,1,0.0
2023-07-28 00:40:00,1,0,22.0,23.2,18.7,64.0,0.0,0.0,1,0.0
2023-07-28 00:50:00,1,0,21.96,23.2,18.7,63.5,0.0,0.0,1,-0.03999999999999915
2023-07-28 01:00:00,1,0,22.0,23.1,18.8,63.5,0.0,0.0,1,0.03999999999999915
2023-07-28 01:10:00,1,0,21.96,23.1,18.7,64.0,0.0,0.0,1,-0.03999999999999915
2023-07-28 01:20:00,1,0,21.96,23.1,18.5,64.5,0.0,0.0,1,0.0
2023-07-28 01:30:00,1,0,21.96,23.1,18.2,65.5,0.0,0.0,1,0.0
2023-07-28 01:40:00,1,0,21.96,23.1,18.3,65.5,0.0,0.0,1,0.0
2023-07-28 01:50:00,1,0,21.96,23.0,18.1,67.0,0.0,0.0,1,0.0
2023-07-28 02:00:00,1,0,21.96,23.0,18.3,65.0,0.0,0.0,1,0.0
2023-07-28 02:10:00,1,0,21.9,23.0,18.5,64.0,0.0,0.0,1,-0.060000000000002274
2023-07-28 02:20:00,1,0,21.96,23.0,18.7,63.0,0.0,0.0,1,0.060000000000002274
2023-07-28 02:30:00,1,0,21.9,22.9,18.5,64.5,0.0,0.0,1,-0.060000000000002274
2023-07-28 02:40:00,1,0,21.9,22.9,18.2,65.5,0.0,0.0,1,0.0
2023-07-28 02:50:00,1,0,21.9,22.9,17.9,67.0,0.0,0.0,1,0.0
2023-07-28 03:00:00,1,0,21.9,22.8,17.6,68.0,0.0,0.0,1,0.0
2023-07-28 03:10:00,1,0,21.9,22.8,17.5,67.5,0.0,0.0,1,0.0
2023-07-28 03:20:00,1,0,21.9,22.8,17.4,67.5,0.0,0.0,1,0.0
2023-07-28 03:30:00,1,0,21.9,22.8,17.0,70.5,0.0,0.0,1,0.0
2023-07-28 03:40:00,1,0,21.85,22.8,16.3,73.5,0.0,0.0,1,-0.04999999999999716
2023-07-28 03:50:00,1,0,21.85,22.7,15.7,75.5,0.0,0.0,1,0.0
2023-07-28 04:00:00,1,0,21.85,22.7,15.2,79.5,0.0,0.0,1,0.0
2023-07-28 04:10:00,1,0,21.85,22.7,15.0,79.5,0.0,0.0,1,0.0
2023-07-28 04:20:00,1,0,21.85,22.7,15.6,78.5,0.0,0.0,1,0.0
2023-07-28 04:30:00,1,0,21.85,22.7,16.2,76.5,0.0,0.0,1,0.0
2023-07-28 04:40:00,1,0,21.85,22.6,16.7,75.5,0.0,0.0,1,0.0
2023-07-28 04:50:00,1,0,21.81,22.6,16.8,78.0,0.0,0.0,1,-0.0400000000000027
2023-07-28 05:00:00,1,0,21.85,22.6,16.9,76.5,0.0,0.0,1,0.0400000000000027
2023-07-28 05:10:00,1,0,21.81,22.6,17.3,76.0,0.0,0.0,1,-0.0400000000000027
2023-07-28 05:20:00,1,0,21.81,22.5,17.5,78.0,0.0,0.0,1,0.0
2023-07-28 05:30:00,1,0,21.81,22.5,17.7,76.5,0.0,0.0,1,0.0
2023-07-28 05:40:00,1,0,21.81,22.5,18.2,75.0,0.0,0.0,1,0.0
2023-07-28 05:50:00,1,0,21.81,22.5,18.7,75.5,0.0,0.0,1,0.0
2023-07-28 06:00:00,1,0,21.81,22.4,19.3,72.5,0.0,0.02,1,0.0
2023-07-28 06:10:00,1,0,21.75,22.4,19.9,71.5,0.0,0.02,1,-0.05999999999999872
2023-07-28 06:20:00,1,0,21.75,22.4,20.3,68.5,0.0,0.02,1,0.0
2023-07-28 06:30:00,1,0,21.75,22.4,21.0,67.0,0.0,0.02,1,0.0
2023-07-28 06:40:00,1,0,21.75,22.4,21.6,65.0,0.0,0.02,1,0.0
2023-07-28 06:50:00,1,0,21.65,22.4,22.4,63.5,0.0,0.02,1,-0.10000000000000142
2023-07-28 07:00:00,1,0,21.65,22.4,22.7,63.5,0.0,0.05,1,0.0
2023-07-28 07:10:00,1,0,21.65,22.3,24.0,56.5,0.0,0.05,1,0.0
2023-07-28 07:20:00,1,0,21.65,22.3,26.7,53.5,0.0,0.05,1,0.0
2023-07-28 07:30:00,1,0,21.65,22.3,28.6,47.5,0.0,0.05,1,0.0
2023-07-28 07:40:00,1,0,21.55,22.3,29.9,46.5,0.0,0.05,1,-0.09999999999999787
2023-07-28 07:50:00,1,0,21.39,22.3,30.0,48.0,0.0,0.05,1,-0.16000000000000014
2023-07-28 08:00:00,1,0,21.39,22.3,30.7,44.5,0.0,0.12,1,0.0
2023-07-28 08:10:00,1,0,21.39,22.3,30.8,40.5,0.0,0.12,1,0.0
