Soil Moisture [RH%],Soil Temperature [C],Environmental Temperature [ C],Environmental Humidity [RH %],Weather Forecast Rainfall [mm],Crop Data Evapotranspiration [mm],Irrigation_Decision
22.0,23.2,18.7,64.0,0.0,0.0,2
22.0,23.2,18.7,63.5,0.0,0.0,2
22.0,23.2,18.7,64.0,0.0,0.0,2
21.96,23.2,18.7,63.5,0.0,0.0,2
22.0,23.1,18.8,63.5,0.0,0.0,2
21.96,23.1,18.7,64.0,0.0,0.0,2
21.96,23.1,18.5,64.5,0.0,0.0,2
21.96,23.1,18.2,65.5,0.0,0.0,2
21.96,23.1,18.3,65.5,0.0,0.0,2
21.96,23.0,18.1,67.0,0.0,0.0,2
21.96,23.0,18.3,65.0,0.0,0.0,2
21.9,23.0,18.5,64.0,0.0,0.0,2
21.96,23.0,18.7,63.0,0.0,0.0,2
21.9,22.9,18.5,64.5,0.0,0.0,2
21.9,22.9,18.2,65.5,0.0,0.0,2
21.9,22.9,17.9,67.0,0.0,0.0,2
21.9,22.8,17.6,68.0,0.0,0.0,2
21.9,22.8,17.5,67.5,0.0,0.0,2
21.9,22.8,17.4,67.5,0.0,0.0,2
21.9,22.8,17.0,70.5,0.0,0.0,2
21.85,22.8,16.3,73.5,0.0,0.0,2
21.85,22.7,15.7,75.5,0.0,0.0,2
21.85,22.7,15.2,79.5,0.0,0.0,2
21.85,22.7,15.0,79.5,0.0,0.0,2
21.85,22.7,15.6,78.5,0.0,0.0,2
21.85,22.7,16.2,76.5,0.0,0.0,2
21.85,22.6,16.7,75.5,0.0,0.0,2
21.81,22.6,16.8,78.0,0.0,0.0,2
21.85,22.6,16.9,76.5,0.0,0.0,2
21.81,22.6,17.3,76.0,0.0,0.0,2
21.81,22.5,17.5,78.0,0.0,0.0,2
21.81,22.5,17.7,76.5,0.0,0.0,2
21.81,22.5,18.2,75.0,0.0,0.0,2
21.81,22.5,18.7,75.5,0.0,0.0,2
21.81,22.4,19.3,72.5,0.0,0.02,2
21.75,22.4,19.9,71.5,0.0,0.02,2
21.75,22.4,20.3,68.5,0.0,0.02,2
21.75,22.4,21.0,67.0,0.0,0.02,2
21.75,22.4,21.6,65.0,0.0,0.02,2
21.65,22.4,22.4,63.5,0.0,0.02,2
21.65,22.4,22.7,63.5,0.0,0.05,2
21.65,22.3,24.0,56.5,0.0,0.05,2
21.65,22.3,26.7,53.5,0.0,0.05,2
21.65,22.3,28.6,47.5,0.0,0.05,2
21.55,22.3,29.9,46.5,0.0,0.05,2
21.39,22.3,30.0,48.0,0.0,0.05,2
21.39,22.3,30.7,44.5,0.0,0.12,2
21.39,22.3,30.8,40.5,0.0,0.12,2
21.39,22.3,31.6,41.0,0.0,0.12,2
21.35,22.3,32.1,41.0,0.0,0.12,2
21.35,22.3,32.6,40.0,0.0,0.12,2
21.35,22.3,32.4,40.0,0.0,0.12,2
21.29,22.3,32.7,42.0,0.0,0.3,2
21.29,22.3,32.7,38.5,0.0,0.3,2
21.29,22.3,32.8,39.0,0.0,0.3,2
21.25,22.3,32.0,42.5,0.0,0.3,2
21.25,22.3,32.1,40.0,0.0,0.3,2
21.19,22.4,32.7,41.5,0.0,0.3,2
21.19,22.4,32.3,44.0,0.0,0.42,2
21.19,22.4,32.0,45.5,0.0,0.42,2
21.09,22.4,32.3,40.5,0.0,0.42,2
21.19,22.5,32.5,42.5,0.0,0.42,2
21.19,22.5,33.0,39.0,0.0,0.42,2
21.25,22.5,32.7,42.0,0.0,0.42,2
21.55,22.6,32.5,43.5,0.0,0.5,2
23.35,22.6,32.6,39.5,0.0,0.5,2
25.12,22.7,32.6,37.5,0.0,0.5,2
27.02,22.7,32.6,40.5,0.0,0.5,2
28.1,22.8,33.1,43.0,0.0,0.5,0
28.85,22.9,33.5,39.0,0.0,0.5,2
29.43,22.9,33.5,40.5,0.0,0.58,2
29.81,23.0,33.9,38.5,0.0,0.58,2
30.14,23.1,33.0,37.5,0.0,0.58,2
29.94,23.1,33.9,38.0,0.0,0.58,2
29.94,23.2,33.7,37.0,0.0,0.58,2
29.88,23.2,33.9,40.5,0.0,0.58,2
29.94,23.2,34.1,38.0,0.0,0.6,2
30.74,23.3,34.1,40.5,0.0,0.6,2
31.07,23.3,33.7,41.5,0.0,0.6,2
31.13,23.4,33.3,41.0,0.0,0.6,2
31.21,23.4,33.4,43.5,0.0,0.6,2
31.27,23.4,33.8,40.5,0.0,0.6,2
31.35,23.5,34.3,40.0,0.0,0.38,2
31.41,23.5,34.4,41.0,0.0,0.38,2
31.48,23.5,34.1,41.5,0.0,0.38,2
31.9,23.5,34.2,41.0,0.0,0.38,2
31.9,23.5,34.1,42.0,0.0,0.38,2
31.96,23.5,34.6,40.5,0.0,0.38,2
31.96,23.5,34.1,41.0,0.0,0.4,2
30.74,23.5,33.9,41.5,0.0,0.4,2
29.88,23.5,33.9,41.0,0.0,0.4,2
29.36,23.5,33.7,41.0,0.0,0.4,2
28.92,23.5,31.9,43.0,0.0,0.4,2
28.53,23.5,30.4,46.0,0.0,0.4,2
28.35,23.5,29.6,48.5,0.0,0.4,2
28.17,23.5,29.2,48.5,0.0,0.4,2
27.98,23.5,29.4,49.0,0.0,0.4,2
27.79,23.5,29.1,49.5,0.0,0.4,2
27.67,23.5,28.5,50.5,0.0,0.4,2
27.6,23.5,29.0,50.5,0.0,0.4,2
27.48,23.5,30.2,48.5,0.0,0.29,2
27.43,23.5,29.6,47.0,0.0,0.29,2
27.31,23.5,29.8,47.5,0.0,0.29,2
27.19,23.5,29.8,47.0,0.0,0.29,2
27.14,23.5,28.8,49.0,0.0,0.29,2
27.07,23.5,28.4,50.5,0.0,0.29,2
27.02,23.5,27.9,51.5,0.0,0.18,2
26.95,23.5,27.0,53.5,0.0,0.18,2
26.9,23.5,26.5,54.5,0.0,0.18,2
26.9,23.5,26.2,55.0,0.0,0.18,2
26.84,23.5,25.9,56.0,0.0,0.18,2
26.84,23.5,25.6,57.0,0.0,0.18,2
26.77,23.5,25.4,58.0,0.0,0.08,2
26.72,23.5,25.1,58.5,0.0,0.08,2
26.72,23.5,25.0,59.0,0.0,0.08,2
26.65,23.5,24.9,60.5,0.0,0.08,2
26.65,23.5,24.6,60.5,0.0,0.08,2
26.65,23.5,24.6,61.0,0.0,0.08,2
26.65,23.5,24.5,62.0,0.0,0.02,2
26.6,23.5,24.3,62.5,0.0,0.02,2
26.49,23.5,24.0,63.0,0.0,0.02,2
26.49,23.5,23.8,63.5,0.0,0.02,2
26.49,23.5,23.6,64.5,0.0,0.02,2
26.49,23.5,23.4,65.0,0.0,0.02,2
26.42,23.4,23.3,65.5,0.0,0.0,2
26.42,23.4,23.4,65.5,0.0,0.0,2
26.37,23.4,23.3,66.0,0.0,0.0,2
26.37,23.4,23.1,66.5,0.0,0.0,2
26.37,23.4,23.1,67.0,0.0,0.0,2
26.32,23.4,23.1,67.0,0.0,0.0,2
26.32,23.4,22.9,68.0,0.0,0.0,2
26.32,23.4,22.7,68.0,0.0,0.0,2
26.25,23.4,22.6,69.5,0.0,0.0,2
26.25,23.4,22.4,70.0,0.0,0.0,2
26.25,23.4,22.5,70.0,0.0,0.0,2
26.19,23.3,22.3,70.5,0.0,0.0,2
26.19,23.3,22.0,71.5,0.0,0.0,2
26.19,23.3,22.0,72.0,0.0,0.0,2
26.19,23.3,22.0,72.0,0.0,0.0,2
26.14,23.3,21.9,72.5,0.0,0.0,2
26.14,23.3,22.0,72.5,0.0,0.0,2
26.14,23.3,22.1,72.5,0.0,0.0,2
26.14,23.3,22.1,72.5,0.0,0.0,2
26.09,23.3,21.9,72.5,0.0,0.0,2
26.14,23.2,22.0,73.0,0.0,0.0,2
26.09,23.2,22.0,72.5,0.0,0.0,2
26.09,23.2,21.9,73.0,0.0,0.0,2
26.02,23.2,21.6,74.0,0.0,0.0,2
26.02,23.2,21.4,74.5,0.0,0.0,2
26.02,23.2,21.2,75.0,0.0,0.0,2
26.02,23.2,21.1,76.0,0.0,0.0,2
25.96,23.2,20.9,76.5,0.0,0.0,2
25.96,23.2,20.7,77.0,0.0,0.0,2
25.96,23.1,20.7,79.0,0.0,0.0,2
25.96,23.1,20.1,80.0,0.0,0.0,2
25.96,23.1,19.8,81.5,0.0,0.0,2
25.96,23.1,19.5,82.0,0.0,0.0,2
25.96,23.1,19.3,82.5,0.0,0.0,2
25.86,23.1,18.9,83.5,0.0,0.0,2
