,mean_abs_shap
vwc_20cm,1.3973525
hours_since_last_irrigation,0.9597069
etc_mm_h,0.33315063
line_id,0.27338022
air_temp_c,0.22009604
vwc_20cm_lag_6s,0.162575
soil_temp_c,0.12416776
vwc_20cm_lag_36s,0.12125627
vwc_20cm_roll_std_6h,0.12102623
ra_mj_m2_day,0.11996863
vwc_20cm_roll_mean_3h,0.11716075
rain_mm_24h_sum,0.08293999
vwc_20cm_lag_18s,0.064551346
et0_hargreaves_mm_day,0.055629708
vwc_20cm_lag_144s,0.050042003
vwc_20cm_lag_72s,0.03551604
rain_mm_h,0.034500353
et0_open_meteo_mm_h,0.029728541
sin_hour,0.029248308
rh_pct,0.021156223
vwc_20cm_deriv_1h,0.019737955
cos_hour,0.016027575
vpd_kpa,0.009450798
rain_mm_1h_sum,0.008011826
daylength_h,0.00041545453
rain_mm_6h_sum,0.0001689173
cos_doy,0.0
sin_doy,0.0
kc_dynamic,0.0
gdd_cum,0.0
